City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
347,helena,90,US,1583983503,74,46.59,-112.04,37.0,17.22
348,kumo,67,NG,1583983570,12,10.04,11.21,76.33,18.37
349,longyearbyen,75,SJ,1583983571,68,78.22,15.64,-20.2,3.36
350,sorong,82,ID,1583983572,50,-0.88,131.25,93.54,0.49
351,kitaibaraki,75,JP,1583983574,45,36.78,140.75,57.99,12.75
352,qaqortoq,38,GL,1583983343,44,60.72,-46.03,21.2,4.7
353,qasigiannguit,13,GL,1583983346,65,68.82,-51.19,3.2,5.82
354,kisangani,100,CD,1583983577,98,0.52,25.2,71.38,1.19
355,dinguiraye,8,GN,1583983578,13,11.3,-10.72,71.44,0.89
356,kavieng,89,PG,1583983579,74,-2.57,150.8,84.15,11.48
357,lai,74,TD,1583983580,10,9.4,16.3,76.14,7.34
358,pangody,87,RU,1583983581,78,65.85,74.49,4.03,8.03
359,okha,0,RU,1583983582,77,53.57,142.95,13.33,25.9
360,urumqi,0,CN,1583983583,53,43.8,87.6,32.0,4.47
361,magadi,20,IN,1583983584,73,12.97,77.23,75.2,3.36
362,price,1,US,1583983585,80,39.6,-110.81,46.0,3.36
363,novobirilyussy,100,RU,1583983587,89,56.95,90.67,22.44,12.46
364,takoradi,54,GH,1583983588,91,4.88,-1.76,78.28,2.3
365,manokwari,19,ID,1583983589,84,-0.87,134.08,78.62,5.99
366,tymovskoye,0,RU,1583983590,68,50.85,142.66,17.58,11.48
367,tuatapere,29,NZ,1583983591,70,-46.13,167.68,59.0,10.0
368,sedona,90,US,1583983573,100,34.87,-111.76,57.0,1.61
369,marsaxlokk,0,MT,1583983593,87,35.84,14.54,55.0,8.05
370,vila velha,90,BR,1583983594,83,-20.33,-40.29,77.0,6.93
371,jati,0,PK,1583983443,9,24.35,68.27,65.34,13.4
372,makakilo city,75,US,1583983596,61,21.35,-158.09,78.8,13.87
373,westport,1,US,1583983504,36,41.14,-73.36,48.0,2.66
374,santa isabel do rio negro,98,BR,1583983598,93,-0.41,-65.02,75.49,1.59
375,oranjemund,47,NA,1583983600,90,-28.55,16.43,62.19,1.83
376,puerto del rosario,40,ES,1583983601,88,28.5,-13.86,64.4,6.93
377,nyurba,100,RU,1583983387,94,63.28,118.33,-8.79,11.16
378,zaragoza,100,ES,1583983603,76,41.66,-0.88,54.0,2.24
379,outjo,86,NA,1583983604,40,-20.12,16.15,68.0,2.24
380,koslan,100,RU,1583983605,99,63.46,48.9,34.05,5.61
381,bayanday,100,RU,1583983606,90,53.07,105.51,13.39,8.61
382,nizwa,0,OM,1583983607,32,22.93,57.53,56.97,0.96
383,mahon,2,ES,1583983608,93,39.89,4.27,57.2,4.7
384,vostok,100,RU,1583983609,81,46.49,135.88,25.57,9.28
385,san cristobal,75,VE,1583983610,83,7.77,-72.22,78.8,2.24
386,calama,40,CL,1583983611,48,-22.47,-68.93,62.6,2.24
387,kirovsk,100,UA,1583983613,82,48.64,38.64,47.64,17.92
388,voyinka,67,UA,1583983614,85,45.87,33.99,46.47,14.38
389,esperance,100,AU,1583983615,68,-33.87,121.9,71.6,12.75
390,leh,100,IN,1583983616,86,34.17,77.58,13.89,5.55
391,vorukh,0,TJ,1583983565,67,39.85,70.58,36.3,1.07
392,roald,75,NO,1583983618,96,62.58,6.13,39.2,17.22
393,canyon lake,1,US,1583983619,68,29.88,-98.26,73.99,8.05
394,atambua,85,ID,1583983620,67,-9.11,124.89,84.22,5.01
395,san rafael,43,AR,1583983469,74,-34.62,-68.33,70.7,5.37
396,caceres,100,ES,1583983493,84,39.52,-6.37,55.99,2.35
397,mayumba,100,GA,1583983624,82,-3.43,10.66,80.1,4.09
398,partizanskoye,100,RU,1583983625,68,55.5,94.39,27.05,22.15
399,bukama,100,CD,1583983626,98,-9.2,25.85,70.36,1.1
400,sironj,0,IN,1583983627,48,24.1,77.7,69.12,8.05
401,belmonte,75,BR,1583983628,94,-15.86,-38.88,75.2,4.7
402,reconquista,33,AR,1583983629,37,-29.15,-59.65,81.28,6.64
403,veraval,0,IN,1583983630,49,20.9,70.37,67.51,4.29
